Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PhotoAmt,AdoptionSpeed
1,5,213,307,2,2,7,0,2,2,3,1,1,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,1.0,2
2,4,299,299,3,1,0,0,2,2,2,2,2,1,3,0,41401,4fff19129eb51507da75e440270c0b11,0,11.0,4
1,12,307,0,3,2,0,0,2,2,3,3,3,1,4,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,5.0,4
2,4,266,0,1,3,7,0,2,1,2,2,2,1,1,0,41326,dfe4060eb622af15ee731ac38631868d,0,5.0,3
1,2,307,0,2,1,6,7,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,5.0,2
1,2,307,0,1,5,0,0,2,1,1,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,3.0,3
1,7,307,75,2,2,0,0,1,1,1,1,1,1,1,1,41326,9434dff254221e2f2a22c5934eb6f01f,0,4.0,2
2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,41326,fe06537e9e94d732071663bc9c904e87,0,3.0,4
2,4,266,0,2,6,7,0,1,1,1,1,2,1,1,0,41401,01b46ef2595555c8e91d023cee125bc3,0,6.0,1
1,2,307,0,2,1,2,0,1,1,2,2,2,1,1,0,41326,0e4b2baf838fefaf099c108b0dde40ba,0,5.0,4
2,60,254,0,2,1,3,7,2,2,1,1,1,1,1,0,41401,f811de159444c96f3eb9a5a60c4f4d80,0,1.0,3
1,0,50,307,2,2,0,0,2,1,2,2,2,1,1,0,41401,f371c0fe28b2db6a53f7a1f51edeb699,0,3.0,2
2,4,266,283,1,6,0,0,1,2,2,2,2,1,1,0,41401,bce0610cc3cb6a63cf1eda3f1e4124ff,0,2.0,4
1,24,307,0,2,2,0,0,2,1,1,1,1,1,1,300,41326,2864803699884df90ac135583b02ec70,0,3.0,4
1,1,307,0,3,1,2,5,2,1,2,2,2,1,5,0,41330,97ff6e3111a3e424d2172ddb6085db89,0,5.0,3
1,2,307,0,3,1,0,0,2,1,1,1,2,1,2,0,41326,050e4ee0a20c435c57753c1e873bccd5,0,8.0,3
2,1,266,0,3,1,2,0,2,1,2,2,2,1,2,0,41326,506903c8fc8e11a97d6443da7210cd68,0,5.0,2
1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,2.0,3
2,12,254,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,09771cded8c18d94a16a6548377410a8,0,1.0,3
1,52,119,0,1,1,5,6,2,2,1,1,2,1,1,100,41401,cbdcf0e2b17ddbb25e49b24aa593f421,0,5.0,1
2,1,266,0,3,2,4,0,2,1,1,1,2,1,4,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,4.0,3
1,48,307,307,2,1,2,7,2,2,3,3,3,1,9,200,41401,3bb20c7572cffac6fb45484e49e2f91d,0,3.0,4
1,1,307,0,2,2,0,0,2,2,2,2,2,1,1,20,41327,7ed6d84e2e6879245e55447aee39c328,0,1.0,2
2,3,266,0,3,5,0,0,1,1,2,2,2,1,3,0,41326,1f095c9ae6fa21db59cbca49e992efc1,0,2.0,4
2,2,265,0,1,1,6,7,1,2,2,2,2,2,1,0,41401,ad2539a54b742542d51864e3319e749e,0,3.0,0
2,3,266,0,3,1,2,4,2,1,2,2,2,1,2,0,41401,891eeaccc76559baef4bab7bff5522cb,0,9.0,2
1,60,179,0,2,2,0,0,1,1,1,1,1,2,1,0,41326,88a21c30883ab70a93e09035e0a9a754,0,4.0,1
2,5,266,0,3,1,4,7,3,1,2,2,2,1,2,0,41326,cfb5e477dc43e90c78f0d7fb6d215833,1,30.0,2
