"State","Type","Name","Age","Gender","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PetID","AdoptionSpeed","BreedName_primary","BreedName_secondary","Primary_Color","Second_color","Third_Color","StateName"
41324,"Dog","Golden Retriever And Mixed Breed Sister",60,"Mixed","Medium","Medium","Yes","Yes","Yes","Healthy",2,100,"75e343c91",4,"Golden Retriever","Mixed Breed","Golden","White",NA,"Melaka"
41324,"Cat","Mak Kucing & Anaknya",14,"Female","Medium","Short","No","No","No","Healthy",2,0,"51337d3a4",3,"Domestic Short Hair",NA,"Golden","White",NA,"Melaka"
41324,"Dog","Unknown",2,"Mixed","Medium","Medium","No","Yes","Yes","Healthy",6,0,"d41aa1c62",4,"Mixed Breed","Mixed Breed","Black","Brown","White","Melaka"
41324,"Dog","PUTIH",8,"Female","Medium","Long","Yes","Yes","Yes","Healthy",1,0,"78cb569c6",1,"Mixed Breed",NA,"White",NA,NA,"Melaka"
41324,"Cat","Kiki",18,"Female","Medium","Long","Yes","Yes","No","Healthy",1,500,"63f01ff3e",1,"Persian","Oriental Long Hair","Cream","White",NA,"Melaka"
41324,"Cat","Kiki & LaLa",3,"Female","Small","Short","No","Yes","No","Healthy",2,0,"d92c5c2df",3,"Domestic Short Hair",NA,"Gray",NA,NA,"Melaka"
41324,"Dog","BEN",2,"Male","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,"af7125abe",4,"Mixed Breed",NA,"Brown","White",NA,"Melaka"
41324,"Cat","Kitten",4,"Male","Medium","Short","Yes","No","No","Healthy",1,0,"53ef098c0",1,"Siamese",NA,"Cream",NA,NA,"Melaka"
41324,"Cat","Unknown",2,"Male","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,"97b0b5d92",4,"Domestic Medium Hair",NA,"Black",NA,NA,"Melaka"
41324,"Dog","Unknown",1,"Male","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,"c40b30ff3",4,"Mixed Breed",NA,"Brown",NA,NA,"Melaka"
41324,"Cat","Miro",3,"Female","Small","Long","No","No","No","Healthy",1,200,"05aaee8ce",1,"Persian","Oriental Long Hair","White",NA,NA,"Melaka"
41324,"Dog","Unknown",4,"Male","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,"7a23bdbdc",4,"Mixed Breed",NA,"Brown",NA,NA,"Melaka"
41324,"Cat","Oren",12,"Male","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,"a84afa62b",4,"Domestic Medium Hair",NA,"Yellow","White",NA,"Melaka"
41324,"Cat","Tom",12,"Female","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,"feec7a438",4,"Domestic Medium Hair","Domestic Medium Hair","Black","Brown","White","Melaka"
41324,"Dog","Unknown",2,"Mixed","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",3,0,"9b251f717",4,"Mixed Breed","Mixed Breed","Black","Brown","White","Melaka"
41324,"Dog","Caely",3,"Female","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,"6eef41768",4,"Mixed Breed",NA,"Brown",NA,NA,"Melaka"
41324,"Dog","Phoebe",2,"Male","Medium","Medium","No","Yes","Not Sure","Healthy",1,0,"bb4c6519d",4,"Mixed Breed",NA,"Brown","Golden","Cream","Melaka"
41324,"Cat","Mrs. Cat, Starface And Kitten",60,"Female","Medium","Medium","No","No","No","Healthy",3,0,"fa9df3011",1,"Persian","Domestic Medium Hair","Black","Brown","White","Melaka"
41324,"Cat","Jerry",12,"Female","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,"83233d345",4,"Domestic Medium Hair",NA,"Black","Yellow","White","Melaka"
41324,"Dog","Lucky",57,"Female","Medium","Medium","Yes","Yes","No","Healthy",1,250,"e3fb26abc",4,"Poodle",NA,"Brown",NA,NA,"Melaka"
41324,"Cat","Snow",12,"Female","Medium","Medium","No","Not Sure","Not Sure","Healthy",1,0,"196b39897",4,"Domestic Medium Hair",NA,"White",NA,NA,"Melaka"
